service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:1,1,1,0,1,1,0,0,20220623,20220721
IDFM:10,1,1,1,0,1,0,0,20220708,20220721
IDFM:100,1,1,1,1,1,0,0,20220622,20220721
IDFM:119,0,0,0,0,1,0,0,20220624,20220715
IDFM:121,1,1,0,1,0,0,0,20220623,20220721
IDFM:1000,1,1,1,1,0,0,0,20220718,20220721
IDFM:1016,0,0,0,0,1,0,0,20220708,20220715
IDFM:1032,0,0,1,0,0,0,0,20220622,20220720
IDFM:1052,0,0,0,0,0,1,0,20220709,20220716
IDFM:6783,1,1,1,1,1,1,0,20220707,20220721
IDFM:6871,0,0,1,0,0,0,0,20220622,20220721
IDFM:10000,0,0,0,0,0,1,0,20220625,20220716
IDFM:10005,0,0,0,1,0,0,0,20220714,20220714
IDFM:10068,0,0,0,0,0,0,1,20220626,20220717
IDFM:11366,0,0,0,0,0,1,1,20220709,20220717
IDFM:11446,0,1,1,1,1,1,0,20220622,20220708
IDFM:11678,0,1,1,1,0,1,0,20220709,20220721
IDFM:11865,0,0,0,0,0,0,1,20220710,20220717
IDFM:12243,0,0,0,0,0,1,1,20220625,20220703
IDFM:12273,0,1,1,1,1,1,1,20220622,20220710
IDFM:12275,1,1,1,1,1,0,1,20220622,20220710
IDFM:12282,1,1,1,1,1,1,1,20220622,20220710
IDFM:13454,0,0,1,0,0,1,0,20220622,20220709
IDFM:13577,0,0,1,1,1,0,0,20220622,20220701
IDFM:13595,1,1,1,1,1,0,0,20220704,20220708
IDFM:14322,1,1,1,0,1,1,0,20220708,20220721
IDFM:16029,1,1,0,1,1,0,0,20220704,20220708
IDFM:16031,0,0,0,1,1,0,0,20220623,20220701
IDFM:16612,0,0,0,0,1,0,0,20220708,20220708
IDFM:16689,1,1,1,1,1,0,0,20220622,20220715
IDFM:16959,1,1,1,0,1,0,0,20220711,20220715
IDFM:17161,0,0,0,1,0,1,1,20220714,20220717
IDFM:17215,0,0,0,1,0,0,1,20220714,20220717
IDFM:17751,1,0,1,0,0,0,0,20220711,20220721
IDFM:17752,1,0,1,1,0,0,0,20220622,20220707
IDFM:17753,0,1,0,0,0,0,0,20220712,20220719
IDFM:17754,0,1,0,0,1,0,0,20220624,20220708
IDFM:17813,1,0,1,1,0,1,0,20220622,20220709
IDFM:20411,1,1,0,1,1,0,0,20220623,20220705
IDFM:20412,1,1,1,1,1,0,0,20220707,20220721
IDFM:20420,1,1,1,1,1,0,0,20220622,20220706
IDFM:20476,1,1,1,1,1,1,0,20220622,20220706
IDFM:20664,1,1,0,1,1,0,0,20220623,20220721
IDFM:21538,0,0,0,0,1,0,0,20220624,20220701
IDFM:21597,1,1,1,1,1,0,0,20220622,20220721
IDFM:21755,1,1,1,1,0,0,0,20220711,20220721
IDFM:24418,1,1,1,1,0,0,0,20220711,20220721
IDFM:24447,1,1,1,1,0,0,0,20220711,20220721
IDFM:24802,1,1,1,1,0,0,0,20220711,20220721
IDFM:25601,1,0,1,1,1,0,0,20220622,20220721
IDFM:26169,0,0,1,0,0,1,0,20220622,20220720
IDFM:30191,1,1,0,1,0,0,0,20220623,20220707
IDFM:30193,0,0,0,0,1,0,0,20220624,20220708
IDFM:31740,1,1,1,1,1,0,0,20220704,20220721
IDFM:34242,0,0,0,0,0,0,1,20220625,20220717
IDFM:34245,0,0,1,1,0,0,1,20220622,20220717
IDFM:34329,1,1,1,1,1,0,1,20220622,20220721
IDFM:34535,0,0,0,0,0,0,1,20220626,20220721
IDFM:34606,0,0,1,1,0,1,0,20220622,20220716
IDFM:34621,0,0,1,1,0,0,0,20220622,20220716
IDFM:34740,1,1,1,1,1,0,0,20220622,20220721
IDFM:35803,1,1,1,1,1,0,0,20220708,20220721
IDFM:36095,0,0,0,0,0,1,0,20220625,20220721
IDFM:36194,1,1,1,1,1,1,0,20220708,20220721
IDFM:37183,0,0,0,0,0,1,0,20220625,20220721
IDFM:39008,0,0,1,0,0,0,0,20220622,20220713
IDFM:39077,1,1,0,1,1,0,0,20220623,20220715
IDFM:39270,0,0,0,0,0,1,0,20220625,20220721
IDFM:39274,1,1,1,1,1,1,0,20220622,20220716
IDFM:39362,0,0,0,1,0,0,1,20220623,20220721
IDFM:39379,1,1,1,0,1,0,0,20220622,20220720
IDFM:39425,1,1,1,0,1,1,0,20220622,20220720
IDFM:40380,1,1,0,1,1,0,0,20220623,20220721
IDFM:40721,0,0,0,0,0,0,1,20220626,20220721
IDFM:41137,0,0,1,0,0,0,0,20220706,20220706
IDFM:41814,0,1,1,1,1,1,0,20220622,20220721
IDFM:41825,0,1,1,1,1,1,1,20220622,20220721
IDFM:42921,0,0,0,0,0,1,1,20220625,20220721
IDFM:43377,0,0,1,0,0,0,0,20220622,20220715
IDFM:43431,1,1,1,1,1,0,0,20220622,20220721
IDFM:43826,0,0,1,0,0,0,0,20220622,20220721
IDFM:43866,1,1,0,1,1,0,0,20220623,20220721
IDFM:44011,1,1,1,1,1,1,0,20220622,20220709
IDFM:44061,1,1,1,1,1,0,0,20220622,20220721
IDFM:44110,1,1,0,1,1,1,0,20220623,20220707
IDFM:44152,0,0,0,1,0,0,0,20220623,20220707
IDFM:44153,1,1,0,0,1,0,0,20220624,20220705
IDFM:44366,1,1,0,1,1,1,0,20220623,20220709
IDFM:44398,0,0,0,0,0,0,1,20220626,20220721
IDFM:44399,1,1,1,1,1,1,0,20220622,20220721
IDFM:44414,1,1,1,1,1,1,1,20220622,20220721
IDFM:44428,0,0,1,1,0,1,1,20220622,20220716
IDFM:44583,1,1,1,1,1,1,0,20220622,20220721
IDFM:45475,0,1,0,1,0,1,1,20220705,20220721
IDFM:45478,0,0,0,1,0,0,0,20220623,20220630
IDFM:45489,0,1,0,1,0,1,1,20220625,20220721
IDFM:45627,0,1,0,0,1,0,1,20220705,20220719
IDFM:45639,0,0,0,0,1,0,1,20220624,20220703
IDFM:47999,0,1,1,1,0,1,0,20220705,20220721
IDFM:49244,1,0,0,0,0,0,0,20220626,20220718
IDFM:49352,0,0,0,0,0,1,0,20220625,20220717
IDFM:52569,1,1,1,0,0,0,0,20220625,20220721
IDFM:55458,0,0,1,0,0,0,0,20220622,20220721
IDFM:55506,0,0,1,0,0,1,0,20220622,20220721
IDFM:55508,1,1,0,1,1,1,0,20220623,20220721
IDFM:55845,0,0,1,0,0,0,0,20220713,20220721
IDFM:55847,0,0,1,0,0,0,0,20220713,20220721
IDFM:55912,1,1,1,1,1,0,0,20220622,20220721
IDFM:56036,0,0,1,0,0,0,0,20220622,20220716
IDFM:56245,0,0,1,1,0,0,0,20220713,20220721
IDFM:56268,0,0,0,0,0,0,1,20220626,20220716
IDFM:56400,0,0,0,0,0,1,0,20220625,20220717
IDFM:56679,0,0,0,0,0,1,0,20220625,20220717
IDFM:58420,0,0,0,0,0,0,1,20220626,20220717
IDFM:59836,1,1,1,1,1,0,0,20220707,20220721
IDFM:61250,1,0,1,1,1,0,0,20220622,20220706
IDFM:67694,1,1,0,1,0,0,0,20220711,20220721
IDFM:71655,1,1,1,1,1,1,0,20220704,20220721
IDFM:78050,0,0,0,0,1,0,0,20220707,20220715
IDFM:78966,0,0,1,0,0,1,0,20220622,20220716
IDFM:79217,0,1,1,1,0,1,0,20220708,20220721
IDFM:79317,0,1,1,1,1,1,0,20220622,20220707
IDFM:79529,1,1,0,1,1,0,0,20220707,20220721
IDFM:80034,1,0,0,1,0,0,0,20220623,20220704
IDFM:83015,0,0,1,0,0,0,1,20220622,20220717
IDFM:84250,0,0,1,0,0,0,0,20220622,20220712
IDFM:84710,0,0,1,0,0,0,0,20220713,20220721
IDFM:84717,1,1,1,1,1,1,1,20220622,20220712
IDFM:84730,1,1,1,1,1,1,1,20220622,20220706
IDFM:84811,1,1,1,1,1,0,0,20220622,20220712
IDFM:85239,1,1,0,1,1,0,0,20220622,20220721
IDFM:86426,0,0,0,0,0,1,0,20220625,20220721
IDFM:87871,0,1,0,1,0,0,0,20220623,20220707
IDFM:92300,0,1,1,1,1,1,0,20220622,20220716
IDFM:95995,1,1,1,1,1,1,1,20220622,20220715
IDFM:96407,0,0,0,0,0,1,0,20220625,20220717
IDFM:99881,0,0,1,0,0,0,0,20220713,20220720
IDFM:99885,0,0,1,0,1,0,0,20220622,20220708
IDFM:100000,0,0,0,0,0,0,1,20220717,20220717
IDFM:100032,0,0,0,0,0,1,0,20220625,20220709
IDFM:100079,1,1,1,1,1,0,0,20220622,20220708
IDFM:100105,0,0,0,0,0,1,0,20220716,20220716
IDFM:100157,0,0,0,0,0,0,1,20220626,20220710
IDFM:100305,1,1,1,0,0,0,0,20220711,20220721
IDFM:100606,1,0,0,0,0,0,0,20220718,20220718
IDFM:100704,0,1,1,1,1,1,0,20220622,20220709
IDFM:100754,0,0,0,0,1,0,0,20220715,20220715
IDFM:100826,0,1,1,1,0,0,0,20220712,20220721
IDFM:100924,1,0,0,0,0,0,0,20220627,20220704
IDFM:101527,0,0,0,0,0,1,0,20220625,20220702
IDFM:101528,1,1,0,1,1,0,0,20220623,20220707
IDFM:101531,0,0,1,0,0,0,0,20220622,20220706
IDFM:101532,1,1,1,1,1,0,0,20220622,20220707
IDFM:101540,0,0,1,0,0,0,0,20220713,20220720
IDFM:101544,1,1,0,0,0,0,0,20220711,20220721
IDFM:101580,1,1,0,1,1,0,0,20220623,20220708
IDFM:101634,0,0,0,0,0,1,1,20220716,20220717
IDFM:101640,0,0,0,0,0,1,1,20220625,20220710
IDFM:102368,1,0,0,0,0,0,1,20220626,20220710
IDFM:102646,1,1,1,0,0,0,0,20220711,20220721
IDFM:102654,1,1,1,1,1,1,0,20220622,20220709
IDFM:102801,0,0,0,0,0,0,1,20220626,20220703
IDFM:104316,1,1,1,1,1,1,0,20220622,20220707
IDFM:104321,0,0,1,0,0,1,0,20220622,20220706
IDFM:104600,0,0,0,0,0,1,0,20220702,20220716
IDFM:104602,1,1,1,0,0,0,0,20220701,20220721
IDFM:104611,0,0,0,0,0,0,1,20220703,20220717
IDFM:104613,0,0,1,1,0,0,0,20220622,20220630
IDFM:104625,0,0,0,0,0,0,1,20220626,20220626
IDFM:104628,0,0,0,0,0,0,1,20220626,20220717
IDFM:104630,0,0,0,0,0,0,1,20220703,20220717
IDFM:104634,0,1,1,1,0,0,0,20220702,20220721
IDFM:104638,1,0,0,0,0,0,0,20220704,20220718
IDFM:104692,0,0,1,1,1,0,0,20220622,20220701
IDFM:104696,1,0,0,0,0,0,0,20220627,20220627
IDFM:104752,0,0,0,0,0,1,0,20220625,20220625
IDFM:104856,0,0,0,0,0,1,0,20220625,20220716
IDFM:106720,0,0,0,0,0,0,1,20220703,20220717
IDFM:106722,0,1,1,1,0,1,0,20220702,20220721
IDFM:106726,0,0,0,0,0,1,0,20220702,20220716
IDFM:107002,1,1,1,0,1,0,0,20220701,20220721
IDFM:108436,1,1,1,1,1,0,0,20220622,20220721
IDFM:109851,0,0,0,0,0,1,0,20220702,20220709
IDFM:109908,0,0,0,0,1,0,0,20220701,20220708
IDFM:111516,0,1,1,1,1,1,0,20220622,20220721
IDFM:111624,1,0,0,0,0,0,0,20220627,20220718
IDFM:112195,1,0,0,0,0,0,0,20220704,20220718
IDFM:114683,0,0,0,0,0,0,1,20220703,20220716
IDFM:114686,0,1,1,1,0,1,0,20220702,20220714
IDFM:114695,1,0,0,0,0,0,0,20220704,20220711
IDFM:114788,0,0,0,0,0,1,0,20220702,20220715
IDFM:114937,1,1,1,0,1,0,0,20220701,20220713
IDFM:115142,0,0,0,0,0,0,1,20220703,20220710
IDFM:115171,0,0,0,0,1,0,0,20220701,20220701
IDFM:115246,0,0,0,1,0,0,0,20220630,20220630
IDFM:115462,0,0,1,1,0,0,0,20220622,20220630
IDFM:115467,0,0,1,0,0,0,0,20220622,20220629
IDFM:115898,0,1,1,1,0,0,0,20220719,20220721
IDFM:118021,0,1,0,0,0,0,0,20220701,20220721
IDFM:118188,0,0,1,1,1,0,0,20220622,20220714
IDFM:118191,0,0,1,1,0,0,0,20220622,20220713
IDFM:118380,0,0,1,0,0,0,0,20220702,20220721
IDFM:118481,0,1,1,1,1,0,0,20220622,20220721
